wavelength_m,power_dBm
7.78512e-07,-57.7444039
7.7852e-07,-58.1198321
7.78528e-07,-57.5913279
7.78536e-07,-58.1117224
7.78544e-07,-58.1157182
7.78552e-07,-58.3928316
7.7856e-07,-57.712237
7.78568e-07,-57.5724699
7.78576e-07,-57.9760177
7.78584e-07,-57.8555708
7.78592e-07,-57.9104393
7.786e-07,-58.2206199
7.78608e-07,-58.2942799
7.78616e-07,-58.4921155
7.78624e-07,-58.8769756
7.78632e-07,-58.9374144
7.7864e-07,-59.2690027
7.78648e-07,-60.1847777
7.78656e-07,-60.4246048
7.78664e-07,-61.4667066
7.78672e-07,-61.3776774
7.7868e-07,-60.9716419
7.78688e-07,-60.4398254
7.78696e-07,-59.8664921
7.78704e-07,-59.8144335
7.78712e-07,-59.3915839
7.7872e-07,-59.2310387
7.78728e-07,-59.3050479
7.78736e-07,-58.9844175
7.78744e-07,-59.4799095
7.78752e-07,-59.1060688
7.7876e-07,-58.4693315
7.78768e-07,-58.8027813
7.78776e-07,-58.7247442
7.78784e-07,-59.203494
7.78792e-07,-59.9209393
7.788e-07,-59.8736432
7.78808e-07,-59.04048
7.78816e-07,-59.5345732
7.78824e-07,-59.1131853
7.78832e-07,-59.323192
7.7884e-07,-59.1797215
7.78848e-07,-58.6212706
7.78856e-07,-59.1427875
7.78864e-07,-58.7355223
7.78872e-07,-58.020451
7.7888e-07,-57.9639569
7.78888e-07,-58.7956497
7.78896e-07,-58.652341
7.78904e-07,-59.0786998
7.78912e-07,-60.2323196
7.7892e-07,-60.2720766
7.78928e-07,-60.9933876
7.78936e-07,-59.6810761
7.78944e-07,-59.8915035
7.78952e-07,-59.6858592
7.7896e-07,-59.0467578
7.78968e-07,-58.8469971
7.78976e-07,-59.1813779
7.78984e-07,-58.8530472
7.78992e-07,-59.0552569
7.79e-07,-59.3392439
7.79008e-07,-58.2580997
7.79016e-07,-58.5462707
7.79024e-07,-59.1996292
7.79032e-07,-59.1285594
7.7904e-07,-59.4161048
7.79048e-07,-58.7646276
7.79056e-07,-58.4824487
