wavelength_m,power_dBm
7.77248e-07,-29.3933347
7.77256e-07,-29.3744629
7.77264e-07,-29.3532912
7.77272e-07,-29.3311935
7.7728e-07,-29.3068369
7.77288e-07,-29.2704648
7.77296e-07,-29.2251803
7.77304e-07,-29.2010021
7.77312e-07,-29.1994587
7.7732e-07,-29.2064872
7.77328e-07,-29.2043828
7.77336e-07,-29.2016711
7.77344e-07,-29.2200422
7.77352e-07,-29.2483164
7.7736e-07,-29.2963333
7.77368e-07,-29.3054278
7.77376e-07,-29.3180028
7.77384e-07,-29.3226193
7.77392e-07,-29.3381641
7.774e-07,-29.3299584
7.77408e-07,-29.2936892
7.77416e-07,-29.2540907
7.77424e-07,-29.1842566
7.77432e-07,-29.1393525
7.7744e-07,-29.0896022
7.77448e-07,-29.0518275
7.77456e-07,-29.0043106
7.77464e-07,-28.9781361
7.77472e-07,-28.9681339
7.7748e-07,-28.9663661
7.77488e-07,-28.9753796
7.77496e-07,-28.9683414
7.77504e-07,-28.9634228
7.77512e-07,-28.9487521
7.7752e-07,-28.9629628
7.77528e-07,-28.9666967
7.77536e-07,-28.9610567
7.77544e-07,-28.9559271
7.77552e-07,-28.9417561
7.7756e-07,-28.9697921
7.77568e-07,-29.0065908
7.77576e-07,-29.0496166
7.77584e-07,-29.0523096
7.77592e-07,-29.0600988
7.776e-07,-29.0726418
7.77608e-07,-29.0809146
7.77616e-07,-29.0791616
7.77624e-07,-29.0242252
7.77632e-07,-28.9867445
7.7764e-07,-28.957886
7.77648e-07,-28.9519331
7.77656e-07,-28.9398265
7.77664e-07,-28.9290387
7.77672e-07,-28.9173588
7.7768e-07,-28.8911313
7.77688e-07,-28.8844566
7.77696e-07,-28.8779505
7.77704e-07,-28.8606794
7.77712e-07,-28.8318203
7.7772e-07,-28.7888873
7.77728e-07,-28.7737345
7.77736e-07,-28.7904787
7.77744e-07,-28.8309031
7.77752e-07,-28.8609732
7.7776e-07,-28.9041822
7.77768e-07,-28.9425913
7.77776e-07,-29.0123135
7.77784e-07,-29.0656451
7.77792e-07,-29.0851572
7.778e-07,-29.0873155
7.77808e-07,-29.0762814
7.77816e-07,-29.1061741
7.77824e-07,-29.1236459
7.77832e-07,-29.1476371
7.7784e-07,-29.1614953
7.77848e-07,-29.1789695
7.77856e-07,-29.2069448
7.77864e-07,-29.2416149
7.77872e-07,-29.2703864
7.7788e-07,-29.2725729
7.77888e-07,-29.2533582
7.77896e-07,-29.2229339
7.77904e-07,-29.2231482
7.77912e-07,-29.2269994
7.7792e-07,-29.2180934
7.77928e-07,-29.2107661
7.77936e-07,-29.1828249
7.77944e-07,-29.2032801
7.77952e-07,-29.2469856
7.7796e-07,-29.2793799
7.77968e-07,-29.297526
7.77976e-07,-29.3180968
7.77984e-07,-29.3624056
7.77992e-07,-29.4093654
7.78e-07,-29.4327377
7.78008e-07,-29.444312
7.78016e-07,-29.4559919
7.78024e-07,-29.4629988
7.78032e-07,-29.5027292
7.7804e-07,-29.5406171
7.78048e-07,-29.5516254
7.78056e-07,-29.5604122
